Subject,itemID,adjective,adjEighth,adjFifth,adjFirst,adjFourth,adjSecond,adjSeventh,adjSixth,adjThird,DegreeOrder,Condition,Restrictor,Expression,Predicate,Position,Answer
104,210,large,100,48,21,70,67,50,82,39,ACEFGDBH,T2,DEH,Conj3,have double-glazed windows,3,100
288,211,late,37,72,69,30,82,27,76,31,FHGBDAEC,Tr,ABGH,Num2,bring packed lunches,1,81
288,211,late,37,72,69,30,82,27,76,31,FHGBDAEC,Fa,ABEH,All,work in HR,4,37
288,211,late,37,72,69,30,82,27,76,31,FHGBDAEC,T1,ABD,None,drink tea,3,65
288,211,late,37,72,69,30,82,27,76,31,FHGBDAEC,T2,ABDE,Some,use post-it notes,2,34
80,12,full,77,0,100,59,5,26,100,70,GBEDAHCF,Tr,FGH,All,used a Boeing model plane,4,100
80,12,full,77,0,100,59,5,26,100,70,GBEDAHCF,Fa,ABDE,Num3,were international,2,24
80,12,full,77,0,100,59,5,26,100,70,GBEDAHCF,T1,DGH,Conj3,included a layover,1,67
80,12,full,77,0,100,59,5,26,100,70,GBEDAHCF,T2,AE,Conj2,left in the morning,3,30
227,212,spicy,57,0,56,36,0,22,83,0,FBAECHDG,Tr,ADGH,Some,contain holy basil,2,0
227,212,spicy,57,0,56,36,0,22,83,0,FBAECHDG,Fa,ABDH,All,contain lemongrass,3,0
227,212,spicy,57,0,56,36,0,22,83,0,FBAECHDG,T1,DGH,Conj3,come with complimentary prawn crackers,1,100
227,212,spicy,57,0,56,36,0,22,83,0,FBAECHDG,T2,ADEH,Num3,are served with noodles,4,0
149,213,profitable,6,4,88,98,100,63,89,9,EHCGAFDB,Tr,AFGH,Num3,have 24/7 customer support,1,2
149,213,profitable,6,4,88,98,100,63,89,9,EHCGAFDB,Fa,ABE,Num2,are construction companies,4,4
149,213,profitable,6,4,88,98,100,63,89,9,EHCGAFDB,T1,ABD,None,are family businesses,3,18
149,213,profitable,6,4,88,98,100,63,89,9,EHCGAFDB,T2,DEH,Conj3,have employee uniforms,2,94
253,13,tall,0,0,1,100,0,100,100,100,BAGFCEHD,Tr,ABGH,Num2,drink coffee,3,100
253,13,tall,0,0,1,100,0,100,100,100,BAGFCEHD,Fa,ABH,None,use public transport,4,0
253,13,tall,0,0,1,100,0,100,100,100,BAGFCEHD,T1,EGH,Conj3,have roommates,2,0
253,13,tall,0,0,1,100,0,100,100,100,BAGFCEHD,T2,DEH,All,play video games,1,0
243,214,safe,82,72,18,88,50,30,73,38,ADBHFECG,Tr,GH,Conj2,have a public library,3,88
243,214,safe,82,72,18,88,50,30,73,38,ADBHFECG,Fa,ABH,Conj3,border a river,2,12
243,214,safe,82,72,18,88,50,30,73,38,ADBHFECG,T1,ABDGH,Num2,have a hardware store,4,30
243,214,safe,82,72,18,88,50,30,73,38,ADBHFECG,T2,ABDE,None,are situated North of the city center,1,4
224,14,powerful,77,29,70,30,71,66,68,66,ACDFEBHG,Tr,AEGH,Some,are black,3,36
224,14,powerful,77,29,70,30,71,66,68,66,ACDFEBHG,Fa,AH,Conj2,have leather interiors,4,77
224,14,powerful,77,29,70,30,71,66,68,66,ACDFEBHG,T1,ADFGH,Num3,have heated seats,2,68
224,14,powerful,77,29,70,30,71,66,68,66,ACDFEBHG,T2,ABDE,None,have a touchscreen,1,66
108,215,complete,76,36,70,34,72,70,65,64,DEHBACGF,Tr,FGH,All,affect retired clients,3,32
108,215,complete,76,36,70,34,72,70,65,64,DEHBACGF,Fa,ABH,None,are about credit card fraud,4,61
108,215,complete,76,36,70,34,72,70,65,64,DEHBACGF,T1,DEGH,Some,involve a repeat offender,1,78
108,215,complete,76,36,70,34,72,70,65,64,DEHBACGF,T2,ADEH,Num3,require an official statement from the bank,2,85
217,15,young,35,0,92,68,100,63,59,36,GHBFADEC,Tr,AFGH,Num3,have houseplants,3,89
217,15,young,35,0,92,68,100,63,59,36,GHBFADEC,Fa,AB,Some,are left-handed,4,0
217,15,young,35,0,92,68,100,63,59,36,GHBFADEC,T1,ABEGH,Num2,keep journals,1,100
217,15,young,35,0,92,68,100,63,59,36,GHBFADEC,T2,ABDE,None,use black pens,2,83
207,216,full,0,22,1,9,48,100,15,0,FBGECDAH,Tr,GH,Conj2,included a layover,1,0
207,216,full,0,22,1,9,48,100,15,0,FBGECDAH,Fa,ABDE,Num3,were international,4,0
207,216,full,0,22,1,9,48,100,15,0,FBGECDAH,T1,DEGH,Some,left in the morning,3,0
207,216,full,0,22,1,9,48,100,15,0,FBGECDAH,T2,DEH,All,used a Boeing model plane,2,0
84,16,hot,33,55,100,72,77,61,77,61,HFEDBGCA,Tr,ABGH,Num2,had high humidity,2,50
84,16,hot,33,55,100,72,77,61,77,61,HFEDBGCA,Fa,AH,Conj2,had heavy traffic,1,50
84,16,hot,33,55,100,72,77,61,77,61,HFEDBGCA,T1,EGH,Conj3,were windy,3,83
84,16,hot,33,55,100,72,77,61,77,61,HFEDBGCA,T2,ADEH,Num3,were workdays,4,50
225,217,tall,76,38,14,92,83,57,23,100,AFHGCBDE,Tr,ABGH,Num2,drink coffee,1,100
225,217,tall,76,38,14,92,83,57,23,100,AFHGCBDE,Fa,ABEH,All,have roommates,3,0
225,217,tall,76,38,14,92,83,57,23,100,AFHGCBDE,T1,AEFGH,Num3,play video games,4,100
225,217,tall,76,38,14,92,83,57,23,100,AFHGCBDE,T2,AE,Conj2,use public transport,2,0
157,17,expensive,100,24,50,80,79,40,85,60,GFCDAEBH,Tr,AFGH,Num3,are grey,1,63
157,17,expensive,100,24,50,80,79,40,85,60,GFCDAEBH,Fa,ABE,Num2,have reflector headlights,2,24
157,17,expensive,100,24,50,80,79,40,85,60,GFCDAEBH,T1,DEGH,All,have tinted windows,4,65
157,17,expensive,100,24,50,80,79,40,85,60,GFCDAEBH,T2,AE,Conj2,have the gas tank door on the left side,3,39
102,218,powerful,74,100,69,50,31,100,23,29,ECBDGAHF,Tr,FGH,All,have leather interiors,2,100
102,218,powerful,74,100,69,50,31,100,23,29,ECBDGAHF,Fa,ABD,Num2,are black,1,23
102,218,powerful,74,100,69,50,31,100,23,29,ECBDGAHF,T1,DGH,Conj3,have a touchscreen,4,69
102,218,powerful,74,100,69,50,31,100,23,29,ECBDGAHF,T2,ABDE,Some,have heated seats,3,63
20,18,large,99,85,83,93,81,94,75,89,EDAGFBCH,Tr,ABGH,Num2,have air conditioning,4,73
20,18,large,99,85,83,93,81,94,75,89,EDAGFBCH,Fa,ABH,Conj3,have double-glazed windows,3,84
20,18,large,99,85,83,93,81,94,75,89,EDAGFBCH,T1,DEGH,Some,come pre-furnished,1,85
20,18,large,99,85,83,93,81,94,75,89,EDAGFBCH,T2,AD,Conj2,are located on the top floor,2,50
122,219,young,61,100,5,90,12,44,67,23,ABCGHFDE,Tr,GH,Conj2,keep journals,2,93
122,219,young,61,100,5,90,12,44,67,23,ABCGHFDE,Fa,ABD,Num2,have houseplants,1,7
122,219,young,61,100,5,90,12,44,67,23,ABCGHFDE,T1,ADFGH,Num3,are left-handed,3,86
122,219,young,61,100,5,90,12,44,67,23,ABCGHFDE,T2,ABDE,Some,use black pens,4,55
106,19,late,100,100,100,50,50,100,50,50,EBACHDGF,Tr,GH,Conj2,work in HR,2,100
106,19,late,100,100,100,50,50,100,50,50,EBACHDGF,Fa,ABDH,All,bring packed lunches,4,0
106,19,late,100,100,100,50,50,100,50,50,EBACHDGF,T1,ABD,None,drink tea,1,100
106,19,late,100,100,100,50,50,100,50,50,EBACHDGF,T2,ABDE,Some,use post-it notes,3,100
259,220,hot,65,73,63,62,62,63,68,64,BAECDGHF,Tr,FGH,Conj3,had high humidity,4,67
259,220,hot,65,73,63,62,62,63,68,64,BAECDGHF,Fa,ABE,Num2,had heavy traffic,1,74
259,220,hot,65,73,63,62,62,63,68,64,BAECDGHF,T1,EH,Conj2,were windy,3,50
259,220,hot,65,73,63,62,62,63,68,64,BAECDGHF,T2,DEH,All,were workdays,2,27
193,20,spicy,80,28,61,74,63,34,87,79,FEBDHAGC,Tr,ABGH,Num2,are served with noodles,1,100
193,20,spicy,80,28,61,74,63,34,87,79,FEBDHAGC,Fa,AH,Conj2,contain lemongrass,4,55
193,20,spicy,80,28,61,74,63,34,87,79,FEBDHAGC,T1,DEGH,Some,contain holy basil,2,0
193,20,spicy,80,28,61,74,63,34,87,79,FEBDHAGC,T2,ADEH,Num3,come with complimentary prawn crackers,3,91
216,221,expensive,74,66,68,19,82,43,72,78,DEAGHFCB,Tr,ABC,None,have the gas tank door on the left side,2,71
216,221,expensive,74,66,68,19,82,43,72,78,DEAGHFCB,Fa,ABDE,Num3,are grey,4,28
216,221,expensive,74,66,68,19,82,43,72,78,DEAGHFCB,T1,EGH,Conj3,have reflector headlights,3,63
216,221,expensive,74,66,68,19,82,43,72,78,DEAGHFCB,T2,ABDE,Some,have tinted windows,1,72
114,21,profitable,71,65,42,64,40,55,56,53,BADFGCEH,Tr,FGH,Conj3,are family businesses,2,67
114,21,profitable,71,65,42,64,40,55,56,53,BADFGCEH,Fa,ABDE,Num3,have employee uniforms,3,36
114,21,profitable,71,65,42,64,40,55,56,53,BADFGCEH,T1,ABEGH,Num2,are construction companies,4,76
114,21,profitable,71,65,42,64,40,55,56,53,BADFGCEH,T2,AE,Conj2,have 24/7 customer support,1,50
98,222,large,32,67,1,20,50,65,44,100,AFHBEDGC,Tr,GH,Conj2,are located on the top floor,3,100
98,222,large,32,67,1,20,50,65,44,100,AFHBEDGC,Fa,ABD,Num2,have double-glazed windows,4,0
98,222,large,32,67,1,20,50,65,44,100,AFHBEDGC,T1,ABD,None,come pre-furnished,1,100
98,222,large,32,67,1,20,50,65,44,100,AFHBEDGC,T2,DEH,Conj3,have air conditioning,2,70
112,22,safe,36,0,90,63,31,80,13,60,HCDFABGE,Tr,ABGH,Num2,are situated North of the city center,1,88
112,22,safe,36,0,90,63,31,80,13,60,HCDFABGE,Fa,ABH,Conj3,have a public library,3,21
112,22,safe,36,0,90,63,31,80,13,60,HCDFABGE,T1,DEGH,Some,border a river,4,73
112,22,safe,36,0,90,63,31,80,13,60,HCDFABGE,T2,AD,Conj2,have a hardware store,2,17
120,223,late,80,84,1,0,69,0,62,0,AFBCHEDG,Tr,ABC,None,use post-it notes,4,100
120,223,late,80,84,1,0,69,0,62,0,AFBCHEDG,Fa,ABH,Conj3,drink tea,3,0
120,223,late,80,84,1,0,69,0,62,0,AFBCHEDG,T1,AEFGH,Num3,work in HR,2,8
120,223,late,80,84,1,0,69,0,62,0,AFBCHEDG,T2,AE,Conj2,bring packed lunches,1,0
241,23,complete,69,98,65,9,0,30,24,44,GAEBHDCF,Tr,ABGH,Num2,require an official statement from the bank,4,86
241,23,complete,69,98,65,9,0,30,24,44,GAEBHDCF,Fa,ABDE,Num3,involve a repeat offender,1,70
241,23,complete,69,98,65,9,0,30,24,44,GAEBHDCF,T1,EH,Conj2,are about credit card fraud,3,66
241,23,complete,69,98,65,9,0,30,24,44,GAEBHDCF,T2,ABDE,None,affect retired clients,2,26
205,224,spicy,0,88,100,0,0,60,89,74,HBEAFGDC,Tr,FGH,All,are served with noodles,3,100
205,224,spicy,0,88,100,0,0,60,89,74,HBEAFGDC,Fa,ABDE,Num3,contain holy basil,4,0
205,224,spicy,0,88,100,0,0,60,89,74,HBEAFGDC,T1,DEGH,Some,come with complimentary prawn crackers,2,100
205,224,spicy,0,88,100,0,0,60,89,74,HBEAFGDC,T2,ABDE,None,contain lemongrass,1,13
130,24,full,40,20,100,0,86,77,94,100,HEGABFDC,Tr,FGH,All,left in the morning,2,0
130,24,full,40,20,100,0,86,77,94,100,HEGABFDC,Fa,ABDE,Num3,included a layover,4,0
130,24,full,40,20,100,0,86,77,94,100,HEGABFDC,T1,DGH,Conj3,used a Boeing model plane,3,92
130,24,full,40,20,100,0,86,77,94,100,HEGABFDC,T2,AE,Conj2,were international,1,0
19,225,profitable,68,74,91,80,7,100,2,5,GCAEFBHD,Tr,FGH,Conj3,have employee uniforms,4,100
19,225,profitable,68,74,91,80,7,100,2,5,GCAEFBHD,Fa,AH,Conj2,have 24/7 customer support,1,1
19,225,profitable,68,74,91,80,7,100,2,5,GCAEFBHD,T1,ABEGH,Num2,are construction companies,3,52
19,225,profitable,68,74,91,80,7,100,2,5,GCAEFBHD,T2,DEH,All,are family businesses,2,95
60,25,tall,0,100,1,100,0,100,100,0,BADGHEFC,Tr,AEGH,Some,use public transport,1,100
60,25,tall,0,100,1,100,0,100,100,0,BADGHEFC,Fa,ABDE,Num3,drink coffee,3,0
60,25,tall,0,100,1,100,0,100,100,0,BADGHEFC,T1,DGH,Conj3,have roommates,2,0
60,25,tall,0,100,1,100,0,100,100,0,BADGHEFC,T2,ABEH,Num2,play video games,4,100
243,226,safe,70,91,82,65,36,7,60,10,GCBEHDAF,Tr,FGH,All,have a public library,1,90
243,226,safe,70,91,82,65,36,7,60,10,GCBEHDAF,Fa,AH,Conj2,have a hardware store,3,5
243,226,safe,70,91,82,65,36,7,60,10,GCBEHDAF,T1,DEGH,Some,border a river,4,30
243,226,safe,70,91,82,65,36,7,60,10,GCBEHDAF,T2,DEH,Conj3,are situated North of the city center,2,78
246,26,powerful,82,50,56,68,88,46,89,50,BDGCHEAF,Tr,FGH,All,have a touchscreen,3,71
246,26,powerful,82,50,56,68,88,46,89,50,BDGCHEAF,Fa,ABH,Conj3,have heated seats,4,74
246,26,powerful,82,50,56,68,88,46,89,50,BDGCHEAF,T1,DEGH,Some,are black,1,77
246,26,powerful,82,50,56,68,88,46,89,50,BDGCHEAF,T2,ABDH,Num2,have leather interiors,2,67
283,227,complete,77,100,74,94,100,50,26,0,EHAFGBCD,Tr,FGH,All,require an official statement from the bank,4,48
283,227,complete,77,100,74,94,100,50,26,0,EHAFGBCD,Fa,ABE,Num2,involve a repeat offender,1,0
283,227,complete,77,100,74,94,100,50,26,0,EHAFGBCD,T1,DEGH,Some,affect retired clients,2,98
283,227,complete,77,100,74,94,100,50,26,0,EHAFGBCD,T2,ABDE,None,are about credit card fraud,3,100
281,27,young,13,83,37,5,54,100,0,6,EFCBGAHD,Tr,FGH,All,are left-handed,4,79
281,27,young,13,83,37,5,54,100,0,6,EFCBGAHD,Fa,AB,Some,use black pens,3,0
281,27,young,13,83,37,5,54,100,0,6,EFCBGAHD,T1,EH,Conj2,have houseplants,1,62
281,27,young,13,83,37,5,54,100,0,6,EFCBGAHD,T2,DEH,Conj3,keep journals,2,44
33,228,full,79,18,32,0,43,14,17,0,CBGHEDFA,Tr,FGH,Conj3,used a Boeing model plane,2,71
33,228,full,79,18,32,0,43,14,17,0,CBGHEDFA,Fa,ABDE,Num3,left in the morning,3,70
33,228,full,79,18,32,0,43,14,17,0,CBGHEDFA,T1,ABD,None,included a layover,1,72
33,228,full,79,18,32,0,43,14,17,0,CBGHEDFA,T2,ABDE,Some,were international,4,69
40,28,hot,100,64,47,27,80,100,0,0,DFBCEAGH,Tr,AFGH,Num3,had high humidity,4,100
40,28,hot,100,64,47,27,80,100,0,0,DFBCEAGH,Fa,AH,Conj2,were workdays,2,0
40,28,hot,100,64,47,27,80,100,0,0,DFBCEAGH,T1,DEGH,Some,had heavy traffic,3,100
40,28,hot,100,64,47,27,80,100,0,0,DFBCEAGH,T2,ABDE,None,were windy,1,23
214,229,tall,95,51,22,87,68,58,92,40,GEHFDABC,Tr,FGH,Conj3,play video games,1,77
214,229,tall,95,51,22,87,68,58,92,40,GEHFDABC,Fa,ABD,Num2,have roommates,4,77
214,229,tall,95,51,22,87,68,58,92,40,GEHFDABC,T1,DEGH,All,use public transport,2,71
214,229,tall,95,51,22,87,68,58,92,40,GEHFDABC,T2,AE,Conj2,drink coffee,3,68
158,29,expensive,23,85,36,28,69,100,79,57,CEDBGFHA,Tr,GH,Conj2,have the gas tank door on the left side,3,100
158,29,expensive,23,85,36,28,69,100,79,57,CEDBGFHA,Fa,ABDE,Num3,are grey,2,84
158,29,expensive,23,85,36,28,69,100,79,57,CEDBGFHA,T1,ABDGH,Num2,have tinted windows,4,78
158,29,expensive,23,85,36,28,69,100,79,57,CEDBGFHA,T2,ABDE,None,have reflector headlights,1,67
233,230,powerful,0,70,79,0,61,86,100,100,ECGADHFB,Tr,ABGH,Num2,have heated seats,1,100
233,230,powerful,0,70,79,0,61,86,100,100,ECGADHFB,Fa,ABH,None,have leather interiors,3,0
233,230,powerful,0,70,79,0,61,86,100,100,ECGADHFB,T1,DGH,Conj3,have a touchscreen,4,79
233,230,powerful,0,70,79,0,61,86,100,100,ECGADHFB,T2,ABDE,Some,are black,2,82
139,231,young,87,0,100,43,19,24,10,0,HDBFACEG,Tr,AEGH,Some,have houseplants,4,87
139,231,young,87,0,100,43,19,24,10,0,HDBFACEG,Fa,ABDE,Num3,keep journals,3,0
139,231,young,87,0,100,43,19,24,10,0,HDBFACEG,T1,ABEGH,Num2,use black pens,2,100
139,231,young,87,0,100,43,19,24,10,0,HDBFACEG,T2,DEH,Conj3,are left-handed,1,41
58,30,large,0,57,1,54,50,0,19,61,AFHEGDCB,Tr,GH,Conj2,are located on the top floor,1,65
58,30,large,0,57,1,54,50,0,19,61,AFHEGDCB,Fa,ABH,Conj3,have double-glazed windows,2,0
58,30,large,0,57,1,54,50,0,19,61,AFHEGDCB,T1,DEGH,All,come pre-furnished,3,33
58,30,large,0,57,1,54,50,0,19,61,AFHEGDCB,T2,ABDH,Num2,have air conditioning,4,33
237,232,hot,62,33,60,67,33,74,36,82,DFGCHEAB,Tr,AFGH,Num3,were workdays,1,62
237,232,hot,62,33,60,67,33,74,36,82,DFGCHEAB,Fa,AH,Conj2,were windy,3,64
237,232,hot,62,33,60,67,33,74,36,82,DFGCHEAB,T1,DEGH,All,had heavy traffic,2,67
237,232,hot,62,33,60,67,33,74,36,82,DFGCHEAB,T2,DEH,Conj3,had high humidity,4,61
15,31,late,57,64,1,50,74,0,0,100,BGHCFADE,Tr,GH,Conj2,bring packed lunches,3,100
15,31,late,57,64,1,50,74,0,0,100,BGHCFADE,Fa,ABDE,Num3,drink tea,1,0
15,31,late,57,64,1,50,74,0,0,100,BGHCFADE,T1,ABD,None,use post-it notes,2,100
15,31,late,57,64,1,50,74,0,0,100,BGHCFADE,T2,ABDE,Some,work in HR,4,11
276,233,expensive,84,82,79,82,76,90,84,85,GEDACFBH,Tr,ABGH,Num2,are grey,2,87
276,233,expensive,84,82,79,82,76,90,84,85,GEDACFBH,Fa,ABH,Conj3,have the gas tank door on the left side,4,89
276,233,expensive,84,82,79,82,76,90,84,85,GEDACFBH,T1,EH,Conj2,have reflector headlights,3,91
276,233,expensive,84,82,79,82,76,90,84,85,GEDACFBH,T2,DEH,All,have tinted windows,1,84
